label,G,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,E7,E8
D1: DANEW,0.2190721090418949,,,,,,,,,,,,,,
D2: DamstraBoukes,0.17581699426453568,0.10732051648137578,,,,,,,,,,,,,
D3: Muddiman,0.31759096474789544,0.2291571524806271,0.23742330580154355,,,,,,,,,,,,
D4: NRC,0.3297031030117043,0.22519383653129885,0.10986404068512172,0.4018013439080448,,,,,,,,,,,
D5: Pattern,0.12394006473566292,0.17436104679325673,-0.011183783573275829,0.06556122779679316,0.16965464075236497,,,,,,,,,,
D6: Polyglot,0.26937632878740914,0.17553547193762745,0.11240451480669311,0.20138368576496707,0.3468662474629201,0.21248246925621267,,,,,,,,,
E1: AFINN,0.28235547116035664,0.20480104889344403,0.05924447800444503,0.40195577965413753,0.30705890558433313,0.17304448836620265,0.2629652218171394,,,,,,,,
E2: DamstraBoukes,0.1782952753509953,0.07815060222227957,0.6084552382861979,0.176780718006065,0.10203073703215909,-0.009609726042300875,0.028077919176050358,0.11834563419901988,,,,,,,
E3: GenInq,0.26216292381275574,0.211348027234241,0.03203481150191624,0.29922239933232136,0.22948835749907232,0.16290760929057904,0.22620522207421803,0.5064408983634594,0.09299205999379256,,,,,,
E4: HuLiu,0.3435326804214732,0.18173870583062862,0.19652495397904507,0.31917097637099173,0.33824119980558204,0.2007458642421292,0.36685167809329255,0.5029044744336867,0.22978460791295768,0.4851799195452178,,,,,
E5: LoughranMcDonald,0.30383728984824687,0.20166243552225319,0.04759581369518498,0.3548667649103252,0.35074383467852865,0.16760972325019238,0.2695329799231324,0.5400463444654163,0.07475916282991128,0.388227074417774,0.48236979330020224,,,,
E6: LSD,0.3359775101903444,0.23289406303113233,0.20351149087449036,0.33011334000272524,0.35916340997182394,0.2501395603132127,0.3281650475922661,0.6097926218291666,0.174868340481595,0.527509374867927,0.6119337818070363,0.474815630002783,,,
E7: Muddiman,0.28038608078605576,0.18317991054742966,0.0742225497170046,0.5644445046439424,0.3547990825155108,0.0993689483321415,0.18851006192423858,0.3774724519788245,0.02530045921065438,0.38274741417628527,0.35247985412357224,0.27362946765856433,0.3763492332008815,,
E8: NRC,0.27932546177648265,0.21037462036891114,0.08129011700907741,0.2517132311916546,0.43680778131658765,0.10475633376105417,0.1797282715866654,0.39710448444880514,0.14403411226466836,0.45777439388965685,0.4304229755787445,0.37288046516739304,0.44755498235811586,0.32618460473470445,
E9: RID,0.1068623432093463,0.07744731380355858,0.015847422863258184,0.05832891657543142,0.18663648575825,0.17479506803845346,0.21017047481648554,0.2446460324562947,0.09253990572792635,0.19695914573444503,0.18806812543762597,0.3122894456596263,0.28989023614865533,0.150993613333595,0.14317180274859617
